title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Sariwala,"Drama, Short",hi,2017-10-21,0.0,['Mansi Jain'],['Shayon Maitra'],unknown,"['obsessed', 'world', 'raghu', 'particular', 'understand', 'worker', 'turned', 'worth', 'picked', 'bride', 'sari', 'shop']","['Drama', 'Short']","['neutral', 'serious', 'emotional']"
Maroon,Thriller,hi,2017-10-24,5.3,['Pulkit'],['Pulkit'],1h 34m,"['driving', 'traumas', 'wife', 'missing', 'fears', 'clueless', 'professor', 'gone', 'psychological', 'insomniac', 'resulting', 'house', 'marooned', 'university']",['Thriller'],"['suspenseful', 'neutral', 'tense']"
Pawan Raja,"Drama, Action",hi,2017-10-26,0.0,['Veeru Thakur'],['Arvind Choubey'],unknown,"['pawan raja', 'arvind choube', 'pawan singh', 'raja', 'pawan', 'music', 'superstar', 'action', 'film', 'drama', 'akshara', 'starring', 'choube', 'monalisa', 'directed', '2017', 'singh', 'great', 'bhojpuri', 'arvind', 'akshara singh']","['Drama', 'Action']","['tense', 'serious', 'dark']"
Hunny Bunny Bank Robbery,"Action, Comedy, Animation",hi,2017-10-27,0.0,['Soham Chakraborty'],"['Vijay Roche', 'Deepak Nair']",47m,"['help', 'story', 'bringing', 'solving', 'bunny', 'guys', 'fun', 'bad', 'retain', 'friends', 'neighbor', 'khanna', 'job', 'justice', 'slapstick', '4', 'robbery', 'best', 'riot', 'mr.', 'come', 'bank', 'honey']","['Action', 'Comedy', 'Animation']","['uplifting', 'tense', 'dark']"
Door Bell,"Romance, Horror",hi,2017-10-27,5.0,"['Shubhra Ghosh', 'Nataliya Kozhenova', 'Nishant Kumar']",['Agrawal Mukesh Narayan'],1h 39m,"['a couple of hours', 'certain', 'couple', 'help', 'a night', 'torture', 'psychotic', 'manner', 'girls', 'lonavala', 'attractive', 'order', 'tanish', 'arrive', 'mumbai', 'sinky', 'tanisha', 'bungalow', 'fiancee', 'meantime', 'writer', 'heavy', 'pinky', 'rains', 'passion', 'awaits', 'night', 'reasons', 'asking', 'raghav', 'women', 'heads', 'complete', 'return', 'hours', 'script']","['Romance', 'Horror']","['scary', 'dark', 'neutral']"
Rukh,"Mystery, Drama",hi,2017-10-27,5.6,"['Akash Mohimen', 'Atanu Mukherjee']",['Atanu Mukherjee'],1h 46m,"['struggles', 'ongoing', 'car', 'begin', 'search', 'starts', 'murder', 'ignorant', 'unexpected', 'death', 'shield', 'accident', 'dhruv', 'news', 'series', 'revelations', 'copes', 'hidden', 'mother', 'seen', 'old', 'family', 'truths', 'shades', 'boarding', 'life', 'nandini', 'turn', 'tragedy', 'father', 'school', 'home', 'gets', 'takes', 'looking', 'leads', 'unravel', '18-year-old', 'premeditated', 'crisis', 'answers', 'discovers', 'personality', 'year']","['Mystery', 'Drama']","['thought-provoking', 'serious', 'neutral']"
Jia aur Jia,Drama,hi,2017-10-27,0.0,"['Mudassar Aziz', 'Farahjaan Sheikh']",['Howard Rosemeyer'],1h 33m,"['heading', 'women', 'different', 'share', 'story', 'fate', 'about two', 'life', 'changing', 'embark', 'journey']",['Drama'],"['adventurous', 'serious', 'neutral']"
Lock and Key,Documentary,hi,2017-11-02,0.0,['Shilpi Gulati'],['Shilpi Gulati'],unknown,"['meaning', 'relationships', 'india', 'redefine', 'labor', 'families', 'problem', 'portrayal', 'addicts', 'kunjee', 'establish', ""taala te kunjee'"", 'intimate', 'pasts', 'wives', 'recovery', 'rehabilitation', 'taala', 'everyday', 'new', 'struggle', 'recovering', 'strive', 'helping', 'recover', 'state', 'love', 'drug', 'rampant', 'punjab', 'center']",['Documentary'],"['neutral', 'uplifting']"
Narayan,Action,hi,2017-11-03,6.0,['Jogesh Sehdeva'],['Jogesh Sehdeva'],1h 50m,"['cars', 'rich', 'egged', 'lot', 'surrounded', 'working', 'similar', 'bikes', 'latest', 'dignity', 'afford', 'finds', 'lifestyle', 'fathers', 'simple', 'phones', 'respect', 'seeing', 'making', 'living', 'son', 'narayan', 'greed', 'kabir', 'spending', 'indulgent', 'desperation', 'honour', 'dtc', 'unsuspecting', 'fight', 'peers', 'hand', 'man', 'friends', 'bus', 'life', 'money', 'opportunity', 'supervisor', 'buck', 'father', 'changed', 'day', 'ticket', 'traditional', 'security', 'takes', 'lots', 'trouble', 'pride', 'great', 'fast', 'offer', 'given', 'big', 'shortcut', 'win', 'feels', 'quick', 'joy']",['Action'],"['dark', 'neutral', 'exciting']"
Ribbon,"Drama, Family",hi,2017-11-03,6.9,"['Raghav Dutt', 'Sudhakar Nilmani Eklavya', 'Manjiri Pupala']",['Rakhee Sandilya'],1h 46m,"['parenthood', 'young', 'baby', 'urban', 'couple', 'challenges', 'working', 'birth', 'girl', 'overwhelmed']","['Drama', 'Family']","['neutral', 'serious', 'emotional']"
